region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2018/08/01,28.5,24.5,14.0,72.5,9.5625,20.5
Bourgogne-Franche-Comté,2018/08/02,29.5,25.5,15.0,59.5,10.0,9.5
Bourgogne-Franche-Comté,2018/08/03,32.5,28.0,12.0,55.5,10.0,7.5
Bourgogne-Franche-Comté,2018/08/04,32.5,29.0,15.5,53.0,10.0,9.0
Bourgogne-Franche-Comté,2018/08/05,31.0,26.5,16.0,57.0,10.0,8.0
Bourgogne-Franche-Comté,2018/08/06,32.0,27.5,5.5,59.0,9.5,18.5
Bourgogne-Franche-Comté,2018/08/07,33.0,27.5,14.5,56.0,9.9375,11.5
Bourgogne-Franche-Comté,2018/08/08,26.5,21.5,11.5,80.5,8.6875,43.0
Bourgogne-Franche-Comté,2018/08/09,24.5,21.5,26.0,76.5,9.375,29.0
Bourgogne-Franche-Comté,2018/08/10,22.5,19.0,10.5,61.0,8.6875,29.0
Bourgogne-Franche-Comté,2018/08/11,23.0,20.0,7.0,56.0,10.0,12.5
Bourgogne-Franche-Comté,2018/08/12,27.5,21.5,12.5,55.0,10.0,5.5
Bourgogne-Franche-Comté,2018/08/13,22.5,20.0,18.5,82.5,9.5625,38.5
Bourgogne-Franche-Comté,2018/08/14,22.5,19.5,14.0,75.5,8.125,45.0
Bourgogne-Franche-Comté,2018/08/15,25.0,22.0,10.5,62.0,10.0,8.5
Bourgogne-Franche-Comté,2018/08/16,28.5,24.0,6.5,57.5,10.0,4.0
Bourgogne-Franche-Comté,2018/08/17,22.5,19.0,14.0,89.5,9.375,35.5
Bourgogne-Franche-Comté,2018/08/18,24.0,20.5,12.5,64.5,8.5,20.0
Bourgogne-Franche-Comté,2018/08/19,26.5,22.0,8.5,55.0,10.0,5.5
Bourgogne-Franche-Comté,2018/08/20,26.5,23.5,13.5,56.0,9.5,5.5
Bourgogne-Franche-Comté,2018/08/21,27.5,23.5,12.0,68.0,9.0,5.5
Bourgogne-Franche-Comté,2018/08/22,30.0,25.0,7.0,63.5,8.9375,7.5
Bourgogne-Franche-Comté,2018/08/23,29.0,24.0,11.5,61.0,9.75,21.0
Bourgogne-Franche-Comté,2018/08/24,19.5,17.5,15.5,85.0,9.0,53.0
Bourgogne-Franche-Comté,2018/08/25,16.0,13.0,13.0,88.0,9.75,52.0
Bourgogne-Franche-Comté,2018/08/26,20.0,15.5,5.0,58.0,10.0,12.0
Bourgogne-Franche-Comté,2018/08/27,20.5,17.0,11.0,72.5,10.0,44.5
Bourgogne-Franche-Comté,2018/08/28,27.0,22.5,6.5,71.5,8.5,23.5
Bourgogne-Franche-Comté,2018/08/29,24.0,22.0,20.0,77.5,9.8125,32.5
Bourgogne-Franche-Comté,2018/08/30,19.0,16.5,7.0,76.5,8.1875,62.5
Bourgogne-Franche-Comté,2018/08/31,19.0,15.5,12.5,84.0,9.875,41.5
Bretagne,2018/08/01,23.0,20.0,14.0,73.0,10.0,30.0
Bretagne,2018/08/02,28.0,22.0,15.0,68.0,10.0,1.0
Bretagne,2018/08/03,31.0,25.0,19.0,71.0,10.0,1.0
Bretagne,2018/08/04,28.0,24.0,18.0,73.0,10.0,11.0
Bretagne,2018/08/05,29.0,23.0,12.0,60.0,9.0,2.0
Bretagne,2018/08/06,32.0,26.0,10.0,59.0,10.0,3.0
Bretagne,2018/08/07,26.0,18.0,23.0,88.0,9.875,38.0
Bretagne,2018/08/08,20.0,16.0,8.0,86.0,9.0,81.0
Bretagne,2018/08/09,19.0,15.0,17.0,92.0,9.625,56.0
Bretagne,2018/08/10,20.0,17.0,24.0,71.0,10.0,31.0
Bretagne,2018/08/11,23.0,19.0,15.0,73.0,8.0,37.0
Bretagne,2018/08/12,22.0,19.0,22.0,90.0,10.0,45.0
Bretagne,2018/08/13,22.0,19.0,16.0,83.0,8.875,53.0
Bretagne,2018/08/14,21.0,19.0,13.0,81.0,5.75,67.0
Bretagne,2018/08/15,23.0,20.0,7.0,76.0,8.0,36.0
Bretagne,2018/08/16,23.0,17.0,19.0,83.0,10.0,30.0
Bretagne,2018/08/17,20.0,18.0,15.0,70.0,8.0,24.0
Bretagne,2018/08/18,23.0,18.0,10.0,71.0,10.0,18.0
Bretagne,2018/08/19,26.0,20.0,12.0,76.0,10.0,31.0
Bretagne,2018/08/20,24.0,20.0,10.0,88.0,5.75,81.0
Bretagne,2018/08/21,25.0,20.0,10.0,85.0,6.5,68.0
Bretagne,2018/08/22,25.0,22.0,14.0,76.0,8.0,15.0
Bretagne,2018/08/23,22.0,19.0,17.0,88.0,9.0,54.0
Bretagne,2018/08/24,19.0,16.0,16.0,74.0,9.0,58.0
Bretagne,2018/08/25,19.0,16.0,13.0,73.0,9.875,44.0
Bretagne,2018/08/26,20.0,15.0,31.0,81.0,9.0,49.0
Bretagne,2018/08/27,21.0,17.0,13.0,74.0,8.75,55.0
Bretagne,2018/08/28,26.0,18.0,14.0,73.0,6.625,10.0
Bretagne,2018/08/29,19.0,17.0,20.0,79.0,9.375,68.0
Bretagne,2018/08/30,18.0,16.0,10.0,78.0,8.0,45.0
Bretagne,2018/08/31,22.0,17.0,9.0,73.0,7.0,15.0
Centre-Val de Loire,2018/08/01,28.0,25.0,7.0,57.0,10.0,59.0
Centre-Val de Loire,2018/08/02,32.0,27.0,12.0,54.0,10.0,22.0
Centre-Val de Loire,2018/08/03,34.0,28.0,12.0,50.0,10.0,3.0
Centre-Val de Loire,2018/08/04,32.0,28.0,15.0,49.0,10.0,5.0
Centre-Val de Loire,2018/08/05,31.0,25.0,13.0,62.0,10.0,11.0
Centre-Val de Loire,2018/08/06,34.0,29.0,8.0,40.0,10.0,3.0
Centre-Val de Loire,2018/08/07,35.0,30.0,20.0,45.0,9.75,16.0
Centre-Val de Loire,2018/08/08,25.0,20.0,10.0,70.0,9.0,70.0
Centre-Val de Loire,2018/08/09,20.0,17.0,23.0,79.0,9.875,60.0
Centre-Val de Loire,2018/08/10,22.0,18.0,17.0,56.0,10.0,19.0
Centre-Val de Loire,2018/08/11,26.0,21.0,4.0,58.0,10.0,16.0
Centre-Val de Loire,2018/08/12,30.0,24.0,18.0,45.0,9.875,11.0
Centre-Val de Loire,2018/08/13,23.0,20.0,18.0,75.0,9.875,51.0
