,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,6,5,12,90,7.625,82,8:23:0,2019/01/01
aquitaine,9,2,8,95,6.5,36,8:52:0,2019/01/01
ardeche,8,5,17,86,10,22,8:52:0,2019/01/01
auvergne,7,3,8,92,5.375,53,8:45:0,2019/01/01
bourgogne,6,3,8,93,6.5,79,8:33:0,2019/01/01
bretagne,10,7,13,92,10,87,8:27:0,2019/01/01
centre,7,6,5,93,7,87,8:28:0,2019/01/01
champagne-ardenne,8,6,13,92,9,95,8:17:0,2019/01/01
corse,14,11,7,61,10,8,9:11:0,2019/01/01
franche-comte,4,3,4,95,4.25,87,8:34:0,2019/01/01
ile-de-re,9,5,18,90,10,35,8:42:0,2019/01/01
ile-de-france,9,7,9,86,9,93,8:20:0,2019/01/01
languedoc-roussillon,14,9,17,68,10,4,9:0:0,2019/01/01
limousin,6,3,11,90,8.375,47,8:45:0,2019/01/01
lorraine,5,4,16,92,9,94,8:18:0,2019/01/01
midi-pyrenees,6,3,12,88,10,16,9:1:0,2019/01/01
nord-pas-de-calais,9,7,17,89,8.625,85,8:7:0,2019/01/01
normandie,10,8,14,87,10,90,8:18:0,2019/01/01
pays-de-la-loire,9,4,10,94,9,63,8:34:0,2019/01/01
picardie,9,6,16,91,8.625,81,8:11:0,2019/01/01
poitou-charentes,9,5,17,90,10,35,8:42:0,2019/01/01
rh-ne-alpes,6,5,15,91,9,78,8:44:0,2019/01/01
provence-alpes-c-te-d-azur,14,11,12,66,10,8,9:2:0,2019/01/01
alsace,5,2,18,78,9.5,72,8:24:0,2019/01/02
aquitaine,9,4,14,92,9,28,8:53:0,2019/01/02
ardeche,6,3,37,71,10,11,8:53:0,2019/01/02
auvergne,4,1,16,88,6.375,50,8:46:0,2019/01/02
bourgogne,5,2,18,85,9,27,8:34:0,2019/01/02
bretagne,8,5,15,89,9,57,8:28:0,2019/01/02
centre,7,3,14,86,9,44,8:29:0,2019/01/02
champagne-ardenne,6,3,14,85,9.875,62,8:18:0,2019/01/02
corse,15,11,8,65,10,2,9:12:0,2019/01/02
franche-comte,3,2,12,90,7.375,68,8:35:0,2019/01/02
ile-de-re,8,7,24,87,10,43,8:43:0,2019/01/02
ile-de-france,8,5,12,76,10,35,8:21:0,2019/01/02
languedoc-roussillon,13,9,23,60,10,1,9:1:0,2019/01/02
limousin,5,3,14,91,8.75,34,8:46:0,2019/01/02
lorraine,4,1,17,85,9.625,48,8:19:0,2019/01/02
midi-pyrenees,7,3,16,90,10,40,9:2:0,2019/01/02
nord-pas-de-calais,6,4,13,79,10,69,8:8:0,2019/01/02
normandie,9,6,12,75,10,83,8:19:0,2019/01/02
pays-de-la-loire,8,6,18,90,9,59,8:35:0,2019/01/02
picardie,7,2,13,86,10,51,8:12:0,2019/01/02
poitou-charentes,8,7,24,87,10,43,8:43:0,2019/01/02
rh-ne-alpes,5,3,26,81,10,30,8:45:0,2019/01/02
provence-alpes-c-te-d-azur,12,10,46,53,10,1,9:3:0,2019/01/02
alsace,3,1,5,82,10,44,8:25:0,2019/01/03
aquitaine,7,2,15,72,10,23,8:54:0,2019/01/03
ardeche,5,2,27,57,10,2,8:54:0,2019/01/03
auvergne,3,-2,14,88,7,17,8:47:0,2019/01/03
bourgogne,3,0,17,84,10,8,8:35:0,2019/01/03
bretagne,6,1,12,86,10,28,8:29:0,2019/01/03
centre,5,1,11,90,10,11,8:30:0,2019/01/03
champagne-ardenne,5,2,9,90,10,62,8:19:0,2019/01/03
corse,10,7,10,48,10,13,9:13:0,2019/01/03
franche-comte,3,-1,14,74,10,6,8:36:0,2019/01/03
ile-de-re,6,3,27,80,10,31,8:44:0,2019/01/03
ile-de-france,7,3,10,83,10,20,8:22:0,2019/01/03
languedoc-roussillon,10,6,29,48,10,3,9:2:0,2019/01/03
limousin,4,0,14,77,10,5,8:47:0,2019/01/03
lorraine,3,0,8,85,10,33,8:20:0,2019/01/03
midi-pyrenees,8,3,7,76,10,5,9:3:0,2019/01/03
nord-pas-de-calais,6,4,9,79,10,73,8:10:0,2019/01/03
normandie,6,4,8,83,10,54,8:20:0,2019/01/03
pays-de-la-loire,6,0,18,88,10,37,8:36:0,2019/01/03
picardie,6,2,9,89,10,41,8:13:0,2019/01/03
poitou-charentes,6,3,27,80,10,31,8:44:0,2019/01/03
rh-ne-alpes,4,1,24,68,10,1,8:46:0,2019/01/03
provence-alpes-c-te-d-azur,12,7,11,54,10,7,9:4:0,2019/01/03
alsace,3,1,5,89,10,61,8:26:0,2019/01/04
aquitaine,7,1,13,65,10,43,8:55:0,2019/01/04
ardeche,5,1,22,69,10,27,8:55:0,2019/01/04
auvergne,3,-3,10,88,7,34,8:48:0,2019/01/04
bourgogne,4,,18,87,9.375,31,8:36:0,2019/01/04
bretagne,6,0,11,89,10,41,8:30:0,2019/01/04
centre,5,0,10,91,8,20,8:32:0,2019/01/04
champagne-ardenne,4,1,11,92,9,53,8:20:0,2019/01/04
corse,9,5,8,53,10,32,9:14:0,2019/01/04
franche-comte,3,0,14,83,9.375,24,8:37:0,2019/01/04
ile-de-re,6,2,24,80,10,49,8:45:0,2019/01/04
ile-de-france,6,2,8,89,10,39,8:23:0,2019/01/04
languedoc-roussillon,9,6,32,52,10,27,9:3:0,2019/01/04
limousin,5,0,14,77,10,40,8:48:0,2019/01/04
lorraine,2,0,9,91,8,56,8:22:0,2019/01/04
midi-pyrenees,7,2,6,54,10,16,9:4:0,2019/01/04
nord-pas-de-calais,5,2,14,91,10,61,8:11:0,2019/01/04
normandie,6,2,4,89,10,24,8:21:0,2019/01/04
pays-de-la-loire,5,,15,91,10,43,8:37:0,2019/01/04
picardie,5,1,11,92,10,45,8:14:0,2019/01/04
