region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Bourgogne-Franche-Comté,2012/01/01,12.0,9.5,20.5,97.0,10.0,88.5,513.5
Bourgogne-Franche-Comté,2012/01/02,9.0,6.5,24.5,96.5,8.9375,71.0,514.0
Bourgogne-Franche-Comté,2012/01/03,6.5,2.5,28.0,92.5,9.9375,59.5,515.0
Bourgogne-Franche-Comté,2012/01/04,7.5,4.5,17.5,94.0,9.5,61.0,516.5
Bourgogne-Franche-Comté,2012/01/05,7.5,3.5,47.0,100.0,8.5,77.5,518.0
Bourgogne-Franche-Comté,2012/01/06,4.0,2.5,20.0,94.5,9.125,49.5,519.0
Bourgogne-Franche-Comté,2012/01/07,5.0,2.0,17.0,84.0,8.875,65.0,520.0
Bourgogne-Franche-Comté,2012/01/08,6.0,4.5,19.5,96.5,7.875,85.0,521.0
Bourgogne-Franche-Comté,2012/01/09,4.5,3.0,17.0,88.0,8.0625,64.5,523.5
Bourgogne-Franche-Comté,2012/01/10,8.0,5.5,14.5,96.5,4.875,58.0,524.5
Bourgogne-Franche-Comté,2012/01/11,4.5,2.5,7.0,85.0,7.5,10.0,526.5
Bourgogne-Franche-Comté,2012/01/12,3.5,2.0,8.5,67.0,10.0,4.0,528.0
Bourgogne-Franche-Comté,2012/01/13,5.5,3.0,13.5,86.0,10.0,41.5,530.0
Bourgogne-Franche-Comté,2012/01/14,3.0,-0.5,30.0,76.0,10.0,2.5,532.0
Bourgogne-Franche-Comté,2012/01/15,1.5,-1.5,14.0,67.5,10.0,2.0,533.5
Bourgogne-Franche-Comté,2012/01/16,0.5,-3.0,11.0,52.0,10.0,1.5,535.5
Bourgogne-Franche-Comté,2012/01/17,1.0,-2.0,5.5,54.0,10.0,23.0,538.0
Bourgogne-Franche-Comté,2012/01/18,3.0,-1.0,11.0,59.0,10.0,22.0,539.5
Bourgogne-Franche-Comté,2012/01/19,6.0,2.5,24.5,95.0,8.6875,99.0,541.5
Bourgogne-Franche-Comté,2012/01/20,6.5,4.0,18.5,97.0,8.8125,91.5,544.0
Bourgogne-Franche-Comté,2012/01/21,8.5,5.0,28.0,97.5,8.1875,98.5,546.5
