,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2016/01/01,7,4,8,90,10,9,8:22:0,Grand Est,2016/01/01
aquitaine_2016/01/01,13,7,22,90,7.875,44,8:52:0,Nouvelle-Aquitaine,2016/01/01
ardeche_2016/01/01,9,6,7,98,6.375,69,8:52:0,,2016/01/01
auvergne_2016/01/01,8,4,15,92,7,37,8:44:0,,2016/01/01
bourgogne_2016/01/01,8,5,10,96,5,32,8:33:0,Bourgogne-Franche-Comté,2016/01/01
bretagne_2016/01/01,11,7,34,90,8,77,8:26:0,Bretagne,2016/01/01
centre_2016/01/01,9,5,26,90,10,59,8:28:0,Centre-Val de Loire,2016/01/01
champagne-ardenne_2016/01/01,7,4,17,93,10,68,8:16:0,,2016/01/01
corse_2016/01/01,11,10,6,79,9.375,50,9:11:0,Corse,2016/01/01
franche-comte_2016/01/01,8,5,9,90,7,41,8:34:0,Bourgogne-Franche-Comté,2016/01/01
ile-de-re_2016/01/01,13,9,36,80,9.875,44,8:42:0,,2016/01/01
ile-de-france_2016/01/01,8,5,26,92,10,76,8:20:0,Île-de-France,2016/01/01
languedoc-roussillon_2016/01/01,14,11,31,90,8.75,99,9:0:0,Occitanie,2016/01/01
limousin_2016/01/01,11,5,26,87,7.75,51,8:45:0,Nouvelle-Aquitaine,2016/01/01
lorraine_2016/01/01,7,4,15,95,7,35,8:17:0,Grand Est,2016/01/01
midi-pyrenees_2016/01/01,14,8,31,90,6.75,43,9:1:0,Occitanie,2016/01/01
nord-pas-de-calais_2016/01/01,7,4,22,91,10,62,8:7:0,Hauts-de-France,2016/01/01
normandie_2016/01/01,9,7,35,89,9,75,8:18:0,Normandie,2016/01/01
pays-de-la-loire_2016/01/01,12,8,33,85,9.875,71,8:34:0,Pays de la Loire,2016/01/01
picardie_2016/01/01,7,5,33,92,10,67,8:11:0,Hauts-de-France,2016/01/01
poitou-charentes_2016/01/01,13,9,36,79,9.875,44,8:42:0,Nouvelle-Aquitaine,2016/01/01
rh-ne-alpes_2016/01/01,8,5,12,95,6,43,8:44:0,,2016/01/01
provence-alpes-c-te-d-azur_2016/01/01,13,11,26,79,9,77,9:2:0,Provence-Alpes-Côte d'Azur,2016/01/01
alsace_2016/01/02,6,5,9,92,8.875,94,8:23:0,Grand Est,2016/01/02
