region,day,Wind_kmh,Wet_percent,Visibility_km,Dayduration_Min
Bourgogne-Franche-Comté,2017/01/01,8.5,70.5,10.0,514.0
Bourgogne-Franche-Comté,2017/01/02,4.5,83.0,8.8125,515.0
Bourgogne-Franche-Comté,2017/01/03,12.5,84.5,9.0,516.0
Bourgogne-Franche-Comté,2017/01/04,18.5,85.5,8.1875,517.0
Bourgogne-Franche-Comté,2017/01/05,14.5,93.0,5.875,518.5
Bourgogne-Franche-Comté,2017/01/06,16.5,73.0,10.0,520.0
Bourgogne-Franche-Comté,2017/01/07,5.5,56.5,9.6875,521.0
Bourgogne-Franche-Comté,2017/01/08,9.5,91.0,6.6875,522.5
Bourgogne-Franche-Comté,2017/01/09,7.5,91.5,6.5,524.0
Bourgogne-Franche-Comté,2017/01/10,12.5,99.5,5.75,525.5
Bourgogne-Franche-Comté,2017/01/11,24.0,98.0,7.0,528.0
Bourgogne-Franche-Comté,2017/01/12,19.0,97.5,7.4375,529.0
Bourgogne-Franche-Comté,2017/01/13,24.0,91.5,8.8125,531.5
Bourgogne-Franche-Comté,2017/01/14,16.5,93.0,6.0625,533.5
Bourgogne-Franche-Comté,2017/01/15,9.0,93.0,4.8125,535.0
Bourgogne-Franche-Comté,2017/01/16,18.0,91.0,7.0625,537.5
Bourgogne-Franche-Comté,2017/01/17,31.5,79.5,10.0,539.5
Bourgogne-Franche-Comté,2017/01/18,22.5,78.5,10.0,541.0
Bourgogne-Franche-Comté,2017/01/19,11.0,82.0,9.5,544.0
Bourgogne-Franche-Comté,2017/01/20,5.0,80.5,10.0,546.0
Bourgogne-Franche-Comté,2017/01/21,7.5,74.0,10.0,548.5
Bourgogne-Franche-Comté,2017/01/22,7.5,72.0,10.0,550.5
Bourgogne-Franche-Comté,2017/01/23,11.0,68.5,10.0,553.0
Bourgogne-Franche-Comté,2017/01/24,13.0,83.0,10.0,555.5
Bourgogne-Franche-Comté,2017/01/25,8.0,79.0,9.0,558.0
Bourgogne-Franche-Comté,2017/01/26,5.5,70.0,10.0,560.5
Bourgogne-Franche-Comté,2017/01/27,9.0,76.5,10.0,563.5
Bourgogne-Franche-Comté,2017/01/28,7.0,86.5,8.375,566.0
Bourgogne-Franche-Comté,2017/01/29,9.0,95.5,5.5625,569.0
Bourgogne-Franche-Comté,2017/01/30,21.5,96.5,8.5,571.0
Bourgogne-Franche-Comté,2017/01/31,15.0,97.5,6.625,574.0
Bourgogne-Franche-Comté,2017/02/01,14.5,94.5,6.125,577.0
Bourgogne-Franche-Comté,2017/02/02,19.0,84.5,9.5,580.0
Bourgogne-Franche-Comté,2017/02/03,21.5,91.0,9.3125,582.5
Bourgogne-Franche-Comté,2017/02/04,41.5,90.0,8.6875,585.5
Bourgogne-Franche-Comté,2017/02/05,17.0,97.0,6.6875,588.5
Bourgogne-Franche-Comté,2017/02/06,17.0,94.5,6.0,591.0
Bourgogne-Franche-Comté,2017/02/07,9.0,95.5,3.375,594.5
Bourgogne-Franche-Comté,2017/02/08,13.5,95.0,5.5625,597.0
Bourgogne-Franche-Comté,2017/02/09,12.0,90.0,8.0625,601.0
Bourgogne-Franche-Comté,2017/02/10,8.5,84.5,7.5,603.0
Bourgogne-Franche-Comté,2017/02/11,10.0,93.0,7.0625,607.0
Bourgogne-Franche-Comté,2017/02/12,12.0,83.5,8.0,609.0
Bourgogne-Franche-Comté,2017/02/13,15.5,81.5,10.0,613.0
Bourgogne-Franche-Comté,2017/02/14,6.5,75.0,10.0,615.0
Bourgogne-Franche-Comté,2017/02/15,9.0,78.0,10.0,619.0
Bourgogne-Franche-Comté,2017/02/16,7.5,82.5,9.5,622.0
Bourgogne-Franche-Comté,2017/02/17,8.5,92.5,7.0,625.0
Bourgogne-Franche-Comté,2017/02/18,14.0,85.0,8.5,628.5
Bourgogne-Franche-Comté,2017/02/19,9.5,77.5,9.5,632.0
Bourgogne-Franche-Comté,2017/02/20,14.0,84.5,8.0,634.5
Bourgogne-Franche-Comté,2017/02/21,16.5,96.0,7.0,638.0
Bourgogne-Franche-Comté,2017/02/22,23.0,89.5,10.0,641.5
Bourgogne-Franche-Comté,2017/02/23,28.0,77.0,7.75,645.0
Bourgogne-Franche-Comté,2017/02/24,15.0,86.5,7.9375,648.5
Bourgogne-Franche-Comté,2017/02/25,9.5,72.5,9.0,651.0
Bourgogne-Franche-Comté,2017/02/26,16.0,66.0,10.0,654.5
Bourgogne-Franche-Comté,2017/02/27,32.5,76.5,8.6875,658.0
Bourgogne-Franche-Comté,2017/02/28,41.0,85.5,8.9375,661.0
Bourgogne-Franche-Comté,2017/03/01,34.0,91.0,9.1875,665.0
Bourgogne-Franche-Comté,2017/03/02,16.0,86.5,9.4375,668.0
Bourgogne-Franche-Comté,2017/03/03,25.0,75.0,10.0,672.0
Bourgogne-Franche-Comté,2017/03/04,33.0,87.0,9.4375,675.0
Bourgogne-Franche-Comté,2017/03/05,36.5,90.5,9.5,678.5
Bourgogne-Franche-Comté,2017/03/06,25.0,94.5,9.625,681.0
Bourgogne-Franche-Comté,2017/03/07,15.5,92.5,7.1875,685.0
Bourgogne-Franche-Comté,2017/03/08,21.5,92.0,8.9375,688.0
Bourgogne-Franche-Comté,2017/03/09,22.5,93.5,7.5,692.0
Bourgogne-Franche-Comté,2017/03/10,14.5,83.5,6.5,695.0
Bourgogne-Franche-Comté,2017/03/11,5.0,68.5,10.0,699.0
Bourgogne-Franche-Comté,2017/03/12,7.5,77.0,9.0,702.0
Bourgogne-Franche-Comté,2017/03/13,14.5,76.5,9.5,705.5
Bourgogne-Franche-Comté,2017/03/14,14.0,78.5,9.0,709.0
Bourgogne-Franche-Comté,2017/03/15,18.0,83.0,9.5,712.0
Bourgogne-Franche-Comté,2017/03/16,4.0,77.0,9.0,716.0
Bourgogne-Franche-Comté,2017/03/17,21.0,82.0,9.0,719.0
Bourgogne-Franche-Comté,2017/03/18,27.0,94.5,8.6875,723.0
Bourgogne-Franche-Comté,2017/03/19,15.5,95.5,6.25,726.0
Bourgogne-Franche-Comté,2017/03/20,18.5,87.5,7.125,730.0
Bourgogne-Franche-Comté,2017/03/21,15.5,93.5,8.1875,733.0
Bourgogne-Franche-Comté,2017/03/22,4.0,81.5,7.9375,736.0
Bourgogne-Franche-Comté,2017/03/23,19.0,83.5,8.9375,740.5
Bourgogne-Franche-Comté,2017/03/24,16.5,90.0,6.0625,743.5
Bourgogne-Franche-Comté,2017/03/25,21.0,80.0,9.5,747.5
Bourgogne-Franche-Comté,2017/03/26,7.5,73.0,10.0,750.5
Bourgogne-Franche-Comté,2017/03/27,15.5,71.5,10.0,754.5
Bourgogne-Franche-Comté,2017/03/28,14.0,78.5,8.5,757.5
Bourgogne-Franche-Comté,2017/03/29,6.5,75.5,8.0,760.5
Bourgogne-Franche-Comté,2017/03/30,9.0,74.0,10.0,764.5
Bourgogne-Franche-Comté,2017/03/31,24.5,65.0,10.0,767.5
Bourgogne-Franche-Comté,2017/04/01,17.5,87.5,7.4375,771.5
Bourgogne-Franche-Comté,2017/04/02,18.0,91.5,6.1875,774.5
Bourgogne-Franche-Comté,2017/04/03,16.5,80.5,8.375,778.0
Bourgogne-Franche-Comté,2017/04/04,14.0,75.0,9.8125,781.0
Bourgogne-Franche-Comté,2017/04/05,20.0,76.5,9.4375,784.0
Bourgogne-Franche-Comté,2017/04/06,24.0,73.5,9.0,788.0
Bourgogne-Franche-Comté,2017/04/07,15.5,70.5,10.0,791.0
Bourgogne-Franche-Comté,2017/04/08,10.5,72.0,9.5,794.5
Bourgogne-Franche-Comté,2017/04/09,9.0,71.5,9.8125,798.0
Bourgogne-Franche-Comté,2017/04/10,18.5,79.5,9.4375,801.0
Bourgogne-Franche-Comté,2017/04/11,15.0,78.5,9.5,805.0
Bourgogne-Franche-Comté,2017/04/12,12.0,64.0,10.0,808.0
Bourgogne-Franche-Comté,2017/04/13,9.0,83.0,8.0,811.5
Bourgogne-Franche-Comté,2017/04/14,7.0,67.5,10.0,814.5
Bourgogne-Franche-Comté,2017/04/15,15.5,87.5,8.9375,817.0
Bourgogne-Franche-Comté,2017/04/16,15.0,85.0,6.625,821.0
Bourgogne-Franche-Comté,2017/04/17,16.5,83.0,9.1875,824.0
Bourgogne-Franche-Comté,2017/04/18,19.5,63.5,8.9375,828.0
Bourgogne-Franche-Comté,2017/04/19,25.0,62.0,9.9375,830.5
Bourgogne-Franche-Comté,2017/04/20,22.0,53.5,10.0,833.0
Bourgogne-Franche-Comté,2017/04/21,13.5,54.5,10.0,837.0
Bourgogne-Franche-Comté,2017/04/22,10.0,72.0,9.0,840.0
Bourgogne-Franche-Comté,2017/04/23,18.0,67.5,9.0,843.5
Bourgogne-Franche-Comté,2017/04/24,12.0,65.0,9.875,846.5
Bourgogne-Franche-Comté,2017/04/25,11.5,95.5,8.6875,849.0
Bourgogne-Franche-Comté,2017/04/26,14.0,83.5,6.6875,853.0
Bourgogne-Franche-Comté,2017/04/27,14.0,73.5,9.375,855.5
Bourgogne-Franche-Comté,2017/04/28,11.0,71.0,9.4375,858.0
Bourgogne-Franche-Comté,2017/04/29,11.5,68.0,10.0,862.0
Bourgogne-Franche-Comté,2017/04/30,19.5,63.5,9.9375,864.5
Bourgogne-Franche-Comté,2017/05/01,19.5,89.5,9.625,867.5
Bourgogne-Franche-Comté,2017/05/02,11.5,85.5,8.0625,871.0
Bourgogne-Franche-Comté,2017/05/03,8.0,80.0,7.75,873.5
Bourgogne-Franche-Comté,2017/05/04,4.5,90.0,7.375,876.5
Bourgogne-Franche-Comté,2017/05/05,12.5,72.0,10.0,879.5
Bourgogne-Franche-Comté,2017/05/06,22.0,96.5,9.5625,882.0
Bourgogne-Franche-Comté,2017/05/07,21.5,97.0,8.25,884.5
Bourgogne-Franche-Comté,2017/05/08,13.0,88.0,7.9375,888.0
Bourgogne-Franche-Comté,2017/05/09,18.5,71.0,8.5,890.5
Bourgogne-Franche-Comté,2017/05/10,13.0,70.0,8.9375,893.0
Bourgogne-Franche-Comté,2017/05/11,14.5,95.0,8.25,896.0
Bourgogne-Franche-Comté,2017/05/12,16.0,82.0,7.3125,898.5
Bourgogne-Franche-Comté,2017/05/13,15.5,86.0,9.5625,901.0
Bourgogne-Franche-Comté,2017/05/14,13.0,84.0,8.6875,903.0
Bourgogne-Franche-Comté,2017/05/15,7.0,77.0,9.5,906.5
Bourgogne-Franche-Comté,2017/05/16,9.5,73.5,10.0,908.5
Bourgogne-Franche-Comté,2017/05/17,11.5,73.0,9.9375,911.0
Bourgogne-Franche-Comté,2017/05/18,12.5,91.0,9.125,913.0
Bourgogne-Franche-Comté,2017/05/19,18.0,95.0,9.0,915.5
Bourgogne-Franche-Comté,2017/05/20,11.0,78.0,7.9375,918.0
Bourgogne-Franche-Comté,2017/05/21,15.5,74.0,10.0,920.0
Bourgogne-Franche-Comté,2017/05/22,12.0,72.5,9.9375,922.5
Bourgogne-Franche-Comté,2017/05/23,15.0,84.0,9.625,924.5
Bourgogne-Franche-Comté,2017/05/24,16.0,77.0,7.375,926.0
Bourgogne-Franche-Comté,2017/05/25,20.5,77.0,10.0,928.0
Bourgogne-Franche-Comté,2017/05/26,11.5,75.0,10.0,930.0
Bourgogne-Franche-Comté,2017/05/27,9.0,77.5,8.875,932.0
Bourgogne-Franche-Comté,2017/05/28,9.5,71.0,9.8125,934.5
Bourgogne-Franche-Comté,2017/05/29,15.0,67.5,10.0,936.0
Bourgogne-Franche-Comté,2017/05/30,11.0,80.0,9.6875,937.0
Bourgogne-Franche-Comté,2017/05/31,14.5,85.0,6.25,939.0
Bourgogne-Franche-Comté,2017/06/01,3.5,73.0,8.4375,940.5
Bourgogne-Franche-Comté,2017/06/02,10.5,75.0,9.6875,942.0
Bourgogne-Franche-Comté,2017/06/03,11.0,89.0,8.0625,944.0
Bourgogne-Franche-Comté,2017/06/04,12.5,73.5,9.0,945.0
Bourgogne-Franche-Comté,2017/06/05,8.0,71.0,9.875,946.5
Bourgogne-Franche-Comté,2017/06/06,29.5,90.5,8.5625,947.5
Bourgogne-Franche-Comté,2017/06/07,23.5,72.5,9.875,948.5
Bourgogne-Franche-Comté,2017/06/08,9.5,63.5,10.0,950.0
Bourgogne-Franche-Comté,2017/06/09,19.0,90.0,9.3125,950.5
Bourgogne-Franche-Comté,2017/06/10,4.5,71.0,9.5,951.5
Bourgogne-Franche-Comté,2017/06/11,9.0,72.0,9.875,953.0
Bourgogne-Franche-Comté,2017/06/12,11.5,90.5,7.375,953.5
Bourgogne-Franche-Comté,2017/06/13,11.5,78.5,7.875,954.0
Bourgogne-Franche-Comté,2017/06/14,7.5,78.5,9.4375,954.5
Bourgogne-Franche-Comté,2017/06/15,16.0,77.5,9.8125,955.0
Bourgogne-Franche-Comté,2017/06/16,15.5,78.5,8.375,955.0
Bourgogne-Franche-Comté,2017/06/17,23.5,74.0,8.5,955.5
Bourgogne-Franche-Comté,2017/06/18,21.0,74.5,10.0,956.0
Bourgogne-Franche-Comté,2017/06/19,13.0,70.0,9.0,956.0
Bourgogne-Franche-Comté,2017/06/20,12.0,69.0,9.9375,956.5
Bourgogne-Franche-Comté,2017/06/21,9.5,71.0,9.8125,956.5
Bourgogne-Franche-Comté,2017/06/22,14.0,72.0,9.9375,956.5
Bourgogne-Franche-Comté,2017/06/23,16.5,84.5,9.1875,956.0
Bourgogne-Franche-Comté,2017/06/24,13.5,85.5,7.375,956.0
Bourgogne-Franche-Comté,2017/06/25,16.0,71.5,10.0,955.5
Bourgogne-Franche-Comté,2017/06/26,9.0,77.0,9.875,955.0
Bourgogne-Franche-Comté,2017/06/27,12.5,73.5,9.3125,954.5
Bourgogne-Franche-Comté,2017/06/28,21.0,84.5,9.375,954.0
Bourgogne-Franche-Comté,2017/06/29,25.0,85.5,8.75,953.5
Bourgogne-Franche-Comté,2017/06/30,28.5,78.5,9.3125,953.0
Bourgogne-Franche-Comté,2017/07/01,21.0,94.5,8.75,952.0
Bourgogne-Franche-Comté,2017/07/02,14.0,87.5,6.5625,951.0
Bourgogne-Franche-Comté,2017/07/03,6.5,80.5,7.75,950.0
Bourgogne-Franche-Comté,2017/07/04,5.5,71.5,10.0,949.0
Bourgogne-Franche-Comté,2017/07/05,6.5,65.0,10.0,948.0
Bourgogne-Franche-Comté,2017/07/06,12.5,60.0,10.0,947.0
Bourgogne-Franche-Comté,2017/07/07,17.5,70.5,9.5625,945.0
Bourgogne-Franche-Comté,2017/07/08,11.0,66.0,9.4375,944.5
Bourgogne-Franche-Comté,2017/07/09,14.0,83.0,8.9375,942.5
Bourgogne-Franche-Comté,2017/07/10,18.5,82.0,9.375,941.5
Bourgogne-Franche-Comté,2017/07/11,15.5,81.5,8.6875,940.0
Bourgogne-Franche-Comté,2017/07/12,25.5,83.5,9.3125,938.0
Bourgogne-Franche-Comté,2017/07/13,8.5,85.5,7.0625,936.5
Bourgogne-Franche-Comté,2017/07/14,19.5,84.5,9.375,935.0
Bourgogne-Franche-Comté,2017/07/15,13.5,72.0,8.4375,933.0
Bourgogne-Franche-Comté,2017/07/16,11.5,65.5,10.0,931.0
Bourgogne-Franche-Comté,2017/07/17,9.0,67.0,9.875,929.0
Bourgogne-Franche-Comté,2017/07/18,15.5,55.5,9.9375,927.0
Bourgogne-Franche-Comté,2017/07/19,20.0,60.0,9.9375,925.5
Bourgogne-Franche-Comté,2017/07/20,15.0,76.5,9.3125,923.5
Bourgogne-Franche-Comté,2017/07/21,7.0,73.5,8.1875,921.0
Bourgogne-Franche-Comté,2017/07/22,10.5,73.5,8.375,918.5
Bourgogne-Franche-Comté,2017/07/23,15.5,71.0,8.3125,916.0
Bourgogne-Franche-Comté,2017/07/24,17.0,85.0,8.875,914.0
Bourgogne-Franche-Comté,2017/07/25,14.5,90.5,8.4375,912.0
Bourgogne-Franche-Comté,2017/07/26,11.0,75.0,6.5,910.0
Bourgogne-Franche-Comté,2017/07/27,15.5,89.5,8.875,907.0
Bourgogne-Franche-Comté,2017/07/28,13.0,77.0,7.75,904.5
Bourgogne-Franche-Comté,2017/07/29,10.0,64.5,9.9375,902.0
Bourgogne-Franche-Comté,2017/07/30,16.0,72.0,9.5,900.0
Bourgogne-Franche-Comté,2017/07/31,10.0,75.5,8.625,896.5
Bourgogne-Franche-Comté,2017/08/01,12.0,69.0,9.5625,894.5
Bourgogne-Franche-Comté,2017/08/02,9.0,76.5,8.1875,892.0
Bourgogne-Franche-Comté,2017/08/03,15.5,75.5,9.0,889.0
Bourgogne-Franche-Comté,2017/08/04,13.5,70.5,10.0,886.5
Bourgogne-Franche-Comté,2017/08/05,17.5,76.0,10.0,883.0
Bourgogne-Franche-Comté,2017/08/06,13.5,61.0,9.5,881.0
Bourgogne-Franche-Comté,2017/08/07,10.0,61.5,9.9375,878.0
Bourgogne-Franche-Comté,2017/08/08,20.0,77.5,9.875,875.5
Bourgogne-Franche-Comté,2017/08/09,10.0,64.0,9.5,872.0
Bourgogne-Franche-Comté,2017/08/10,8.5,65.5,9.3125,870.0
Bourgogne-Franche-Comté,2017/08/11,9.5,83.0,9.3125,866.5
Bourgogne-Franche-Comté,2017/08/12,12.5,69.5,10.0,863.0
Bourgogne-Franche-Comté,2017/08/13,5.0,87.0,8.0,861.0
Bourgogne-Franche-Comté,2017/08/14,8.5,69.5,8.0,857.5
Bourgogne-Franche-Comté,2017/08/15,14.0,61.0,9.5625,854.5
