region,day,TempMax_Deg,Wind_kmh,Wet_percent,Visibility_km,Dayduration_Min
Bourgogne-Franche-Comté,2018/01/01,7.5,35.5,87.0,9.0625,513.5
Bourgogne-Franche-Comté,2018/01/02,5.5,20.0,91.0,9.5,514.5
Bourgogne-Franche-Comté,2018/01/03,11.5,47.0,77.0,8.625,515.5
Bourgogne-Franche-Comté,2018/01/04,12.5,34.5,92.5,8.375,516.5
Bourgogne-Franche-Comté,2018/01/05,11.5,25.0,92.5,8.625,518.5
Bourgogne-Franche-Comté,2018/01/06,9.5,7.0,94.0,4.9375,519.5
Bourgogne-Franche-Comté,2018/01/07,8.5,15.5,82.5,9.5,520.5
Bourgogne-Franche-Comté,2018/01/08,8.0,13.0,83.5,10.0,522.5
Bourgogne-Franche-Comté,2018/01/09,6.0,14.0,93.0,8.625,524.0
Bourgogne-Franche-Comté,2018/01/10,7.5,18.5,88.0,8.6875,525.0
Bourgogne-Franche-Comté,2018/01/11,7.5,5.5,90.0,5.9375,527.5
Bourgogne-Franche-Comté,2018/01/12,6.5,12.5,93.5,4.625,529.0
Bourgogne-Franche-Comté,2018/01/13,6.0,7.5,86.0,8.0,531.0
Bourgogne-Franche-Comté,2018/01/14,6.5,7.5,75.5,10.0,532.5
Bourgogne-Franche-Comté,2018/01/15,6.5,27.5,80.5,9.5,535.0
Bourgogne-Franche-Comté,2018/01/16,9.0,34.0,87.0,9.4375,536.5
Bourgogne-Franche-Comté,2018/01/17,5.5,31.0,81.0,9.75,538.5
Bourgogne-Franche-Comté,2018/01/18,8.0,36.0,88.5,8.125,541.0
Bourgogne-Franche-Comté,2018/01/19,7.5,19.5,91.0,9.1875,543.5
Bourgogne-Franche-Comté,2018/01/20,8.5,34.0,87.5,8.875,545.5
Bourgogne-Franche-Comté,2018/01/21,7.5,7.5,93.0,8.75,547.5
Bourgogne-Franche-Comté,2018/01/22,10.5,30.5,95.0,8.75,550.0
Bourgogne-Franche-Comté,2018/01/23,9.0,10.5,90.5,8.5,552.0
Bourgogne-Franche-Comté,2018/01/24,11.5,18.5,92.5,7.375,555.0
Bourgogne-Franche-Comté,2018/01/25,11.5,23.5,79.5,9.4375,557.0
Bourgogne-Franche-Comté,2018/01/26,7.0,6.5,95.0,6.3125,560.0
Bourgogne-Franche-Comté,2018/01/27,8.0,7.5,91.5,6.625,562.0
Bourgogne-Franche-Comté,2018/01/28,6.0,10.0,88.0,8.5,565.5
Bourgogne-Franche-Comté,2018/01/29,8.5,8.5,92.0,6.0,568.0
Bourgogne-Franche-Comté,2018/01/30,8.5,4.0,91.0,6.375,571.0
Bourgogne-Franche-Comté,2018/01/31,8.0,23.5,83.5,8.125,573.5
Bourgogne-Franche-Comté,2018/02/01,5.5,17.5,86.5,9.5625,576.0
Bourgogne-Franche-Comté,2018/02/02,4.0,11.0,84.0,8.1875,579.0
Bourgogne-Franche-Comté,2018/02/03,3.5,8.0,87.5,8.0,582.0
Bourgogne-Franche-Comté,2018/02/04,4.5,11.5,72.5,10.0,584.5
Bourgogne-Franche-Comté,2018/02/05,2.5,13.5,77.5,8.5,587.5
Bourgogne-Franche-Comté,2018/02/06,4.5,5.0,80.0,7.1875,591.0
Bourgogne-Franche-Comté,2018/02/07,1.0,11.5,86.0,8.25,593.0
Bourgogne-Franche-Comté,2018/02/08,3.0,10.5,78.0,9.5,597.0
Bourgogne-Franche-Comté,2018/02/09,3.5,12.5,79.0,8.0,599.0
Bourgogne-Franche-Comté,2018/02/10,2.5,7.0,87.0,8.1875,603.0
Bourgogne-Franche-Comté,2018/02/11,3.0,22.5,91.0,9.5,605.5
Bourgogne-Franche-Comté,2018/02/12,3.0,10.5,86.5,8.6875,609.0
Bourgogne-Franche-Comté,2018/02/13,4.0,10.5,70.5,9.6875,611.5
Bourgogne-Franche-Comté,2018/02/14,4.0,8.5,76.5,10.0,615.0
Bourgogne-Franche-Comté,2018/02/15,8.0,20.5,96.0,6.4375,618.5
Bourgogne-Franche-Comté,2018/02/16,9.0,12.0,83.0,9.875,621.0
Bourgogne-Franche-Comté,2018/02/17,5.0,17.5,97.5,7.5625,624.5
Bourgogne-Franche-Comté,2018/02/18,5.0,10.5,81.5,8.375,628.0
Bourgogne-Franche-Comté,2018/02/19,5.0,5.0,68.0,10.0,630.5
Bourgogne-Franche-Comté,2018/02/20,4.5,13.5,60.0,10.0,634.0
Bourgogne-Franche-Comté,2018/02/21,4.0,24.0,60.0,10.0,637.5
Bourgogne-Franche-Comté,2018/02/22,3.0,25.0,57.5,10.0,640.5
Bourgogne-Franche-Comté,2018/02/23,3.5,20.0,56.5,10.0,643.5
Bourgogne-Franche-Comté,2018/02/24,6.0,16.0,60.5,10.0,647.0
Bourgogne-Franche-Comté,2018/02/25,1.5,26.0,44.5,10.0,650.5
Bourgogne-Franche-Comté,2018/02/26,-2.5,29.0,30.5,10.0,654.0
Bourgogne-Franche-Comté,2018/02/27,-3.5,18.5,39.5,10.0,657.5
Bourgogne-Franche-Comté,2018/02/28,0.5,18.0,40.5,9.1875,660.5
Bourgogne-Franche-Comté,2018/03/01,3.0,14.0,94.5,6.0625,663.5
Bourgogne-Franche-Comté,2018/03/02,5.0,17.0,97.5,8.1875,667.0
Bourgogne-Franche-Comté,2018/03/03,5.5,15.0,94.5,8.3125,670.5
Bourgogne-Franche-Comté,2018/03/04,11.0,14.0,81.0,6.6875,674.0
Bourgogne-Franche-Comté,2018/03/05,11.5,8.5,82.0,8.5,677.5
Bourgogne-Franche-Comté,2018/03/06,9.0,11.0,91.5,8.0,681.0
Bourgogne-Franche-Comté,2018/03/07,8.5,24.5,77.0,8.9375,684.0
Bourgogne-Franche-Comté,2018/03/08,11.5,22.0,75.0,9.0,688.0
Bourgogne-Franche-Comté,2018/03/09,14.0,21.0,74.0,10.0,691.0
Bourgogne-Franche-Comté,2018/03/10,15.5,22.5,92.5,9.25,695.0
Bourgogne-Franche-Comté,2018/03/11,13.0,14.0,89.5,8.5625,698.0
Bourgogne-Franche-Comté,2018/03/12,11.5,25.5,80.5,8.3125,702.0
Bourgogne-Franche-Comté,2018/03/13,8.0,23.0,91.0,8.0,705.0
Bourgogne-Franche-Comté,2018/03/14,13.0,11.5,80.0,8.9375,709.0
Bourgogne-Franche-Comté,2018/03/15,6.5,17.0,93.5,8.25,712.0
Bourgogne-Franche-Comté,2018/03/16,11.5,10.0,83.0,6.9375,715.5
Bourgogne-Franche-Comté,2018/03/17,6.0,11.0,95.0,5.875,719.0
Bourgogne-Franche-Comté,2018/03/18,2.5,8.5,90.0,5.375,722.0
Bourgogne-Franche-Comté,2018/03/19,4.0,11.5,74.5,8.0,726.0
Bourgogne-Franche-Comté,2018/03/20,4.0,25.5,67.5,9.0,729.0
Bourgogne-Franche-Comté,2018/03/21,5.0,24.5,49.0,10.0,733.0
Bourgogne-Franche-Comté,2018/03/22,5.5,10.5,74.0,9.875,736.0
Bourgogne-Franche-Comté,2018/03/23,6.5,6.5,89.5,5.25,740.0
Bourgogne-Franche-Comté,2018/03/24,12.0,5.0,70.5,8.5,743.0
Bourgogne-Franche-Comté,2018/03/25,12.0,10.0,77.5,9.8125,746.0
Bourgogne-Franche-Comté,2018/03/26,11.0,12.0,80.0,8.9375,750.0
Bourgogne-Franche-Comté,2018/03/27,8.0,16.5,89.0,6.8125,753.0
Bourgogne-Franche-Comté,2018/03/28,10.0,26.5,94.5,8.875,757.0
Bourgogne-Franche-Comté,2018/03/29,10.0,14.0,81.0,7.875,760.0
Bourgogne-Franche-Comté,2018/03/30,8.5,14.0,94.5,8.4375,763.5
Bourgogne-Franche-Comté,2018/03/31,11.5,7.5,78.0,8.625,767.0
Bourgogne-Franche-Comté,2018/04/01,8.5,19.0,89.0,9.4375,770.0
Bourgogne-Franche-Comté,2018/04/02,13.0,15.5,63.5,10.0,774.0
Bourgogne-Franche-Comté,2018/04/03,16.5,27.5,58.0,9.875,777.0
Bourgogne-Franche-Comté,2018/04/04,12.0,21.5,95.5,8.9375,781.0
Bourgogne-Franche-Comté,2018/04/05,10.5,20.5,87.0,9.875,784.0
Bourgogne-Franche-Comté,2018/04/06,17.5,11.5,68.5,10.0,787.0
Bourgogne-Franche-Comté,2018/04/07,19.5,11.5,64.0,10.0,791.0
Bourgogne-Franche-Comté,2018/04/08,18.5,10.0,79.0,9.8125,793.5
Bourgogne-Franche-Comté,2018/04/09,14.5,12.0,87.5,7.8125,797.5
Bourgogne-Franche-Comté,2018/04/10,11.0,21.5,84.0,8.25,800.5
Bourgogne-Franche-Comté,2018/04/11,16.0,24.5,67.0,10.0,803.0
Bourgogne-Franche-Comté,2018/04/12,16.0,17.5,68.0,9.4375,807.0
