region,day,TempMax_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Bourgogne-Franche-Comté,2020/01/01,4.5,6.0,81.5,9.6875,22.0,513.5
Bourgogne-Franche-Comté,2020/01/02,5.5,10.0,87.5,8.8125,53.0,514.5
Bourgogne-Franche-Comté,2020/01/03,7.0,17.0,91.5,8.375,96.0,515.5
Bourgogne-Franche-Comté,2020/01/04,6.5,9.0,90.5,7.75,49.5,516.5
Bourgogne-Franche-Comté,2020/01/05,5.5,15.5,88.5,9.5,24.5,518.0
Bourgogne-Franche-Comté,2020/01/06,6.5,8.5,88.5,8.0,18.5,519.0
Bourgogne-Franche-Comté,2020/01/07,7.0,7.5,96.0,6.0,68.5,520.0
Bourgogne-Franche-Comté,2020/01/08,7.0,10.5,94.5,5.0625,91.5,521.0
Bourgogne-Franche-Comté,2020/01/09,10.0,16.5,84.5,8.5,63.5,523.5
Bourgogne-Franche-Comté,2020/01/10,8.0,22.5,88.0,6.9375,89.0,524.5
Bourgogne-Franche-Comté,2020/01/11,6.5,8.0,90.0,8.3125,37.5,526.5
Bourgogne-Franche-Comté,2020/01/12,5.0,12.0,91.5,8.5,49.0,528.0
Bourgogne-Franche-Comté,2020/01/13,7.0,8.0,87.5,10.0,47.5,530.0
Bourgogne-Franche-Comté,2020/01/14,9.5,23.0,80.0,10.0,60.5,532.0
Bourgogne-Franche-Comté,2020/01/15,10.5,31.0,78.5,10.0,25.5,533.5
Bourgogne-Franche-Comté,2020/01/16,10.5,8.5,87.5,10.0,24.0,535.5
Bourgogne-Franche-Comté,2020/01/17,8.0,19.0,91.5,9.0625,64.5,538.0
Bourgogne-Franche-Comté,2020/01/18,5.5,9.5,93.0,9.4375,53.5,540.0
Bourgogne-Franche-Comté,2020/01/19,4.5,22.0,86.0,9.25,33.0,542.0
Bourgogne-Franche-Comté,2020/01/20,4.5,26.0,78.0,10.0,6.5,544.0
Bourgogne-Franche-Comté,2020/01/21,5.0,8.0,74.0,10.0,6.0,546.5
Bourgogne-Franche-Comté,2020/01/22,5.5,7.5,72.5,10.0,4.0,549.0
Bourgogne-Franche-Comté,2020/01/23,5.0,9.0,61.0,10.0,8.0,551.5
Bourgogne-Franche-Comté,2020/01/24,7.5,5.0,86.5,10.0,27.5,554.0
Bourgogne-Franche-Comté,2020/01/25,7.5,3.5,87.5,10.0,37.5,556.5
Bourgogne-Franche-Comté,2020/01/26,8.5,11.0,90.5,8.1875,67.0,559.0
Bourgogne-Franche-Comté,2020/01/27,7.5,21.0,88.0,8.0,83.0,561.5
Bourgogne-Franche-Comté,2020/01/28,7.5,32.0,85.0,8.5625,90.5,564.0
Bourgogne-Franche-Comté,2020/01/29,7.0,15.5,92.5,8.625,88.0,566.5
Bourgogne-Franche-Comté,2020/01/30,7.0,17.5,89.0,7.125,68.0,569.0
Bourgogne-Franche-Comté,2020/01/31,12.5,15.0,94.5,7.0,89.0,571.5
Bourgogne-Franche-Comté,2020/02/01,11.5,25.5,90.5,8.75,64.5,575.0
Bourgogne-Franche-Comté,2020/02/02,12.5,30.5,92.5,8.0625,99.0,578.0
Bourgogne-Franche-Comté,2020/02/03,13.5,26.0,89.5,8.625,90.5,580.0
Bourgogne-Franche-Comté,2020/02/04,10.5,27.0,82.0,9.125,86.0,583.5
Bourgogne-Franche-Comté,2020/02/05,6.0,13.0,91.5,9.375,59.5,586.5
Bourgogne-Franche-Comté,2020/02/06,7.0,12.5,70.5,10.0,37.5,589.0
Bourgogne-Franche-Comté,2020/02/07,9.5,7.5,70.5,10.0,2.5,592.5
Bourgogne-Franche-Comté,2020/02/08,10.5,12.5,81.5,10.0,22.0,595.0
Bourgogne-Franche-Comté,2020/02/09,11.5,36.0,82.0,9.6875,53.0,598.0
Bourgogne-Franche-Comté,2020/02/10,11.5,35.5,76.0,8.0,90.0,601.0
Bourgogne-Franche-Comté,2020/02/11,8.0,26.5,86.5,8.9375,73.0,604.0
Bourgogne-Franche-Comté,2020/02/12,6.5,23.0,85.5,10.0,75.0,607.0
Bourgogne-Franche-Comté,2020/02/13,9.0,32.0,81.5,8.6875,68.5,611.0
Bourgogne-Franche-Comté,2020/02/14,10.5,13.5,86.5,9.625,72.5,613.0
Bourgogne-Franche-Comté,2020/02/15,11.0,12.5,85.5,10.0,36.5,617.0
Bourgogne-Franche-Comté,2020/02/16,14.5,27.5,68.0,10.0,30.0,619.0
Bourgogne-Franche-Comté,2020/02/17,11.0,19.0,92.5,8.0,77.5,623.0
Bourgogne-Franche-Comté,2020/02/18,8.5,15.0,88.5,10.0,49.5,626.0
Bourgogne-Franche-Comté,2020/02/19,8.0,22.0,87.0,8.8125,90.5,629.0
Bourgogne-Franche-Comté,2020/02/20,10.5,17.0,87.0,8.25,57.5,632.0
Bretagne,2020/01/01,11.0,9.0,97.0,7.625,92.0,506.0
Bretagne,2020/01/02,11.0,27.0,93.0,8.0,94.0,507.0
Bretagne,2020/01/03,12.0,23.0,93.0,10.0,73.0,508.0
Bretagne,2020/01/04,9.0,8.0,91.0,10.0,47.0,509.0
Bretagne,2020/01/05,9.0,4.0,88.0,10.0,51.0,511.0
Bretagne,2020/01/06,9.0,19.0,93.0,9.0,38.0,513.0
Bretagne,2020/01/07,13.0,21.0,99.0,4.75,95.0,514.0
Bretagne,2020/01/08,13.0,18.0,97.0,9.625,90.0,515.0
Bretagne,2020/01/09,13.0,33.0,93.0,7.375,96.0,516.0
Bretagne,2020/01/10,9.0,15.0,84.0,9.75,76.0,518.0
Bretagne,2020/01/11,9.0,21.0,89.0,10.0,35.0,520.0
Bretagne,2020/01/12,12.0,22.0,94.0,9.875,77.0,522.0
Bretagne,2020/01/13,11.0,41.0,96.0,5.75,95.0,523.0
Bretagne,2020/01/14,12.0,45.0,92.0,7.25,100.0,526.0
Bretagne,2020/01/15,12.0,38.0,84.0,8.5,79.0,528.0
Bretagne,2020/01/16,11.0,32.0,87.0,9.875,55.0,529.0
Bretagne,2020/01/17,9.0,24.0,86.0,8.625,56.0,532.0
Bretagne,2020/01/18,9.0,11.0,88.0,10.0,30.0,534.0
Bretagne,2020/01/19,7.0,20.0,91.0,10.0,13.0,537.0
Bretagne,2020/01/20,7.0,21.0,86.0,10.0,4.0,538.0
Bretagne,2020/01/21,6.0,15.0,89.0,9.0,7.0,541.0
Bretagne,2020/01/22,7.0,18.0,76.0,10.0,8.0,543.0
Bretagne,2020/01/23,7.0,15.0,73.0,10.0,28.0,546.0
Bretagne,2020/01/24,7.0,9.0,91.0,8.375,69.0,548.0
Bretagne,2020/01/25,11.0,16.0,97.0,7.375,56.0,551.0
Bretagne,2020/01/26,10.0,26.0,95.0,8.625,85.0,553.0
Bretagne,2020/01/27,9.0,27.0,92.0,8.5,100.0,557.0
Bretagne,2020/01/28,7.0,30.0,88.0,8.25,66.0,559.0
Bretagne,2020/01/29,11.0,17.0,91.0,9.625,65.0,562.0
Bretagne,2020/01/30,13.0,27.0,96.0,9.0,94.0,564.0
Bretagne,2020/01/31,13.0,24.0,95.0,9.375,83.0,567.0
Bretagne,2020/02/01,13.0,26.0,93.0,8.375,87.0,570.0
Bretagne,2020/02/02,14.0,27.0,93.0,9.5,98.0,573.0
Bretagne,2020/02/03,13.0,28.0,94.0,9.75,96.0,576.0
Bretagne,2020/02/04,9.0,28.0,84.0,9.625,66.0,579.0
Bretagne,2020/02/05,10.0,9.0,91.0,9.0,40.0,582.0
Bretagne,2020/02/06,9.0,21.0,87.0,8.0,7.0,585.0
Bretagne,2020/02/07,10.0,17.0,93.0,10.0,52.0,588.0
Bretagne,2020/02/08,11.0,14.0,97.0,8.875,78.0,591.0
Bretagne,2020/02/09,13.0,49.0,89.0,6.25,83.0,594.0
Bretagne,2020/02/10,11.0,41.0,76.0,8.625,81.0,598.0
Bretagne,2020/02/11,8.0,28.0,83.0,9.0,53.0,600.0
Bretagne,2020/02/12,10.0,17.0,85.0,10.0,55.0,604.0
Bretagne,2020/02/13,10.0,43.0,83.0,8.625,90.0,607.0
Bretagne,2020/02/14,12.0,24.0,91.0,10.0,56.0,610.0
Bretagne,2020/02/15,14.0,38.0,88.0,10.0,88.0,614.0
Bretagne,2020/02/16,14.0,57.0,87.0,7.5,99.0,616.0
Bretagne,2020/02/17,10.0,31.0,83.0,8.5,39.0,620.0
Bretagne,2020/02/18,11.0,23.0,83.0,10.0,37.0,624.0
Bretagne,2020/02/19,11.0,21.0,88.0,9.875,97.0,627.0
Bretagne,2020/02/20,11.0,36.0,86.0,9.875,84.0,630.0
Centre-Val de Loire,2020/01/01,7.0,10.0,97.0,5.625,68.0,508.0
Centre-Val de Loire,2020/01/02,10.0,15.0,97.0,7.625,94.0,509.0
Centre-Val de Loire,2020/01/03,11.0,22.0,92.0,9.375,90.0,510.0
Centre-Val de Loire,2020/01/04,8.0,8.0,83.0,10.0,52.0,511.0
Centre-Val de Loire,2020/01/05,9.0,8.0,80.0,10.0,46.0,513.0
Centre-Val de Loire,2020/01/06,7.0,15.0,87.0,10.0,15.0,514.0
Centre-Val de Loire,2020/01/07,10.0,12.0,94.0,8.0,91.0,515.0
Centre-Val de Loire,2020/01/08,11.0,15.0,94.0,8.0,100.0,516.0
Centre-Val de Loire,2020/01/09,11.0,24.0,83.0,7.5,100.0,519.0
Centre-Val de Loire,2020/01/10,9.0,18.0,81.0,9.875,81.0,520.0
Centre-Val de Loire,2020/01/11,7.0,9.0,89.0,10.0,45.0,522.0
Centre-Val de Loire,2020/01/12,7.0,19.0,88.0,10.0,61.0,523.0
Centre-Val de Loire,2020/01/13,9.0,21.0,94.0,9.0,89.0,526.0
Centre-Val de Loire,2020/01/14,9.0,31.0,76.0,5.0,93.0,527.0
