,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2020/01/01,6,1,3,87,10,3,8:22:0,alsace,2020/01/01
aquitaine_2020/01/01,12,10,12,89,10,65,8:52:0,aquitaine,2020/01/01
ardeche_2020/01/01,10,4,6,81,10,2,8:52:0,ardeche,2020/01/01
auvergne_2020/01/01,8,3,4,83,10,13,8:44:0,auvergne,2020/01/01
bourgogne_2020/01/01,5,1,7,81,9.375,18,8:33:0,bourgogne,2020/01/01
bretagne_2020/01/01,11,9,9,97,7.625,92,8:26:0,bretagne,2020/01/01
centre_2020/01/01,7,3,10,97,5.625,68,8:28:0,centre,2020/01/01
champagne-ardenne_2020/01/01,4,1,9,84,10,29,8:16:0,champagne-ardenne,2020/01/01
corse_2020/01/01,11,7,8,76,10,4,9:11:0,corse,2020/01/01
franche-comte_2020/01/01,4,1,5,82,10,26,8:34:0,franche-comte,2020/01/01
ile-de-re_2020/01/01,12,11,16,93,10,84,8:42:0,ile-de-re,2020/01/01
ile-de-france_2020/01/01,6,2,8,90,9.375,41,8:20:0,ile-de-france,2020/01/01
languedoc-roussillon_2020/01/01,10,9,6,78,10,33,9:0:0,languedoc-roussillon,2020/01/01
limousin_2020/01/01,8,5,9,94,4.625,90,8:45:0,limousin,2020/01/01
lorraine_2020/01/01,2,0,8,90,9,11,8:17:0,lorraine,2020/01/01
midi-pyrenees_2020/01/01,10,8,5,83,9,71,9:1:0,midi-pyrenees,2020/01/01
nord-pas-de-calais_2020/01/01,3,1,13,88,9.375,31,8:7:0,nord-pas-de-calais,2020/01/01
normandie_2020/01/01,8,5,11,96,5.375,83,8:18:0,normandie,2020/01/01
pays-de-la-loire_2020/01/01,11,10,12,97,7.875,86,8:34:0,pays-de-la-loire,2020/01/01
picardie_2020/01/01,4,-1,11,97,8.25,40,8:11:0,picardie,2020/01/01
poitou-charentes_2020/01/01,12,11,16,93,10,84,8:42:0,poitou-charentes,2020/01/01
rh-ne-alpes_2020/01/01,9,5,3,77,10,2,8:44:0,rh-ne-alpes,2020/01/01
provence-alpes-c-te-d-azur_2020/01/01,13,12,4,76,10,24,9:2:0,provence-alpes-c-te-d-azur,2020/01/01
alsace_2020/01/02,5,2,8,80,10,20,8:23:0,alsace,2020/01/02
aquitaine_2020/01/02,11,7,10,86,10,59,8:53:0,aquitaine,2020/01/02
ardeche_2020/01/02,7,3,9,92,8.375,41,8:53:0,ardeche,2020/01/02
auvergne_2020/01/02,9,2,6,87,10,29,8:45:0,auvergne,2020/01/02
bourgogne_2020/01/02,5,2,12,87,7.625,71,8:34:0,bourgogne,2020/01/02
bretagne_2020/01/02,11,8,27,93,8,94,8:27:0,bretagne,2020/01/02
centre_2020/01/02,10,7,15,97,7.625,94,8:29:0,centre,2020/01/02
champagne-ardenne_2020/01/02,6,3,12,98,6.875,92,8:17:0,champagne-ardenne,2020/01/02
corse_2020/01/02,12,8,8,76,10,9,9:12:0,corse,2020/01/02
